Emp_ID,Years_of_Experience,Emp_Rating,Exp_in_Company,Personal_Rating,Client_Feedback_Rating,Appraisal_Percentage,Interaction_Experience_Rating,Normalized_Personal_Rating
E01212,16,1.42,9,8.2,3.03,12.85,22.72,4.1
E01213,4,4.35,0,9.7,1.96,-0.9,17.4,4.85
E01214,5,1.96,5,2.9,4.18,1.94,9.8,1.45
E01215,24,1.78,11,2.7,1.34,4.95,42.72,1.35
E01216,5,3.02,2,5.1,3.1,4.09,15.1,2.55
E01217,8,4.07,10,7.7,1.84,9.15,32.56,3.85
E01218,10,1.25,15,3.5,1.27,7.32,12.5,1.75
E01219,17,3.31,3,1.2,3.01,10.53,56.27,0.6
E01220,9,1.48,8,5.9,3.0,7.74,13.32,2.95
E01221,22,1.15,2,9.6,3.83,12.59,25.3,4.8
E01222,19,1.21,0,4.5,3.98,9.75,22.99,2.25
E01223,14,4.34,2,4.8,3.91,6.79,60.76,2.4
E01224,8,1.47,6,9.7,2.64,5.82,11.76,4.85
E01225,9,1.18,12,7.3,3.53,5.27,10.62,3.65
E01226,22,2.75,6,7.5,3.31,9.85,60.5,3.75
E01227,11,4.38,10,6.1,2.69,8.32,48.18,3.05
E01228,23,2.05,4,9.8,3.39,10.01,47.15,4.9
E01229,1,2.69,13,7.2,4.79,8.34,2.69,3.6
E01230,14,1.16,0,9.1,1.77,5.27,16.24,4.55
E01231,5,2.8,10,7.3,4.62,4.41,14.0,3.65
E01232,21,3.31,7,7.6,1.21,8.29,69.51,3.8
E01233,14,3.28,9,3.6,2.23,9.43,45.92,1.8
E01234,4,2.33,7,3.7,2.15,1.53,9.32,1.85
E01235,22,2.26,9,8.0,3.51,10.4,49.72,4.0
E01236,23,1.43,11,3.7,1.52,13.0,32.89,1.85
E01237,25,2.47,9,6.1,4.53,12.39,61.75,3.05
E01238,1,1.4,12,3.2,4.31,4.29,1.4,1.6
E01239,22,4.07,9,8.4,3.61,11.52,89.54,4.2
E01240,23,4.87,1,2.0,2.83,7.75,112.01,1.0
E01241,19,4.88,9,8.5,4.73,9.53,92.72,4.25
E01242,8,4.46,2,6.4,4.32,5.7,35.68,3.2
E01243,15,3.4,3,2.7,3.0,7.87,51.0,1.35
E01244,21,3.8,0,5.9,3.81,11.07,79.8,2.95
E01245,15,2.14,3,3.5,3.27,7.15,32.1,1.75
E01246,9,3.52,15,3.9,3.35,10.87,31.68,1.95
E01247,21,2.82,4,4.2,2.32,12.32,59.22,2.1
E01248,9,2.93,2,1.6,2.85,6.59,26.37,0.8
E01249,10,4.03,13,9.9,1.31,10.91,40.3,4.95
E01250,20,2.13,10,1.3,2.43,7.49,42.6,0.65
E01251,25,2.27,14,7.0,3.78,10.37,56.75,3.5
E01252,21,4.7,9,4.3,4.81,12.41,98.7,2.15
E01253,9,1.22,15,6.8,4.85,5.16,10.98,3.4
E01254,3,2.94,1,4.2,3.22,2.76,8.82,2.1
E01255,20,4.65,12,7.1,3.43,13.2,93.0,3.55
E01256,25,3.44,5,7.6,1.74,13.81,86.0,3.8
E01257,11,3.19,7,7.2,3.78,6.94,35.09,3.6
E01258,6,2.0,6,2.0,1.28,2.96,12.0,1.0
E01259,2,2.37,10,6.9,2.14,5.31,4.74,3.45
E01260,7,4.41,13,3.5,3.67,5.4,30.87,1.75
E01261,18,3.24,0,1.3,2.24,6.93,58.32,0.65
E01262,2,3.06,3,4.7,1.2,3.12,6.12,2.35
E01263,17,1.4,2,4.9,4.33,7.36,23.8,2.45
E01264,11,1.06,5,5.2,2.24,5.87,11.66,2.6
E01265,12,4.85,8,7.3,1.25,6.45,58.2,3.65
E01266,19,2.51,8,3.8,1.3,7.49,47.69,1.9
E01267,22,3.41,6,3.8,2.01,8.45,75.02,1.9
E01268,24,1.32,14,1.5,1.71,7.78,31.68,0.75
E01269,25,3.73,11,7.2,4.1,13.42,93.25,3.6
E01270,7,4.73,8,6.1,2.29,8.45,33.11,3.05
E01271,20,3.3,7,4.1,4.22,11.57,66.0,2.05
E01272,6,1.5,4,7.3,1.7,3.75,9.0,3.65
E01273,21,3.33,8,5.8,2.97,8.78,69.93,2.9
E01274,24,4.07,13,5.2,3.75,14.19,97.68,2.6
E01275,1,2.63,6,5.6,3.61,5.11,2.63,2.8
E01276,17,4.52,4,6.7,3.4,9.49,76.84,3.35
E01277,11,3.59,15,6.9,4.7,12.85,39.49,3.45
E01278,22,4.6,14,3.6,1.91,11.93,101.2,1.8
E01279,18,3.49,7,2.3,2.97,8.51,62.82,1.15
E01280,21,1.53,14,2.4,4.54,10.06,32.13,1.2
E01281,17,2.24,6,6.8,1.31,5.02,38.08,3.4
E01282,7,1.81,8,8.9,1.22,6.88,12.67,4.45
E01283,17,4.64,9,4.7,1.93,9.4,78.88,2.35
E01284,20,4.04,0,2.5,3.53,9.59,80.8,1.25
E01285,9,3.71,14,7.8,2.04,11.86,33.39,3.9
E01286,17,2.2,12,8.5,1.76,8.8,37.4,4.25
E01287,20,1.74,8,8.9,2.84,5.08,34.8,4.45
E01288,22,4.03,14,6.5,3.45,13.31,88.66,3.25
E01289,22,2.9,6,8.7,1.99,10.56,63.8,4.35
E01290,8,1.9,0,1.1,2.2,2.25,15.2,0.55
E01291,17,3.47,0,2.0,3.45,8.17,58.99,1.0
E01292,7,1.16,4,1.8,4.78,6.07,8.12,0.9
E01293,1,2.3,7,7.4,3.7,2.21,2.3,3.7
E01294,13,2.87,8,1.6,4.13,7.03,37.31,0.8
E01295,23,1.59,11,5.5,2.47,13.73,36.57,2.75
E01296,19,4.94,5,5.3,2.09,8.18,93.86,2.65
E01297,24,1.84,11,3.8,2.82,11.21,44.16,1.9
E01298,19,1.52,12,8.8,4.23,5.19,28.88,4.4
E01299,17,1.81,9,2.5,2.83,5.48,30.77,1.25
E01300,13,4.08,11,4.2,4.39,9.35,53.04,2.1
E01301,16,2.7,7,8.0,4.96,11.53,43.2,4.0
E01302,8,3.26,14,1.3,1.29,4.17,26.08,0.65
E01303,19,1.08,5,7.1,1.18,8.23,20.52,3.55
E01304,18,1.14,10,8.3,1.6,8.25,20.52,4.15
E01305,1,2.78,5,9.4,2.54,5.77,2.78,4.7
E01306,14,4.27,3,8.9,1.52,5.27,59.78,4.45
E01307,19,4.54,10,3.9,4.48,11.66,86.26,1.95
E01308,15,1.35,4,6.3,1.09,5.38,20.25,3.15
E01309,18,3.15,15,1.7,2.26,10.73,56.7,0.85
E01310,2,4.65,13,3.3,1.74,5.88,9.3,1.65
E01311,22,2.55,1,1.8,4.73,8.44,56.1,0.9
E01312,17,4.32,2,3.8,3.68,9.3,73.44,1.9
E01313,18,1.53,2,8.9,4.65,8.32,27.54,4.45
E01314,6,4.74,13,4.1,4.89,7.42,28.44,2.05
E01315,19,4.01,11,6.1,2.99,10.0,76.19,3.05
E01316,4,4.77,10,4.9,1.94,6.14,19.08,2.45
E01317,1,3.71,4,5.1,1.77,3.89,3.71,2.55
E01318,8,2.45,13,9.7,1.89,5.35,19.6,4.85
E01319,23,4.75,4,3.7,3.83,10.04,109.25,1.85
E01320,7,2.1,5,6.6,1.16,2.72,14.7,3.3
E01321,3,2.33,4,4.8,1.21,3.27,6.99,2.4
E01322,10,3.8,11,1.6,3.43,6.38,38.0,0.8
E01323,10,4.06,5,5.4,3.57,8.42,40.6,2.7
E01324,19,4.72,7,8.3,3.66,11.9,89.68,4.15
E01325,14,1.82,14,1.9,2.49,6.57,25.48,0.95
E01326,2,4.19,1,1.6,4.22,3.48,8.38,0.8
E01327,1,3.95,3,2.4,3.13,4.62,3.95,1.2
E01328,23,1.26,12,7.9,1.42,10.53,28.98,3.95
E01329,23,2.55,15,7.5,4.19,11.05,58.65,3.75
E01330,18,2.13,5,6.1,4.81,6.64,38.34,3.05
E01331,7,2.22,11,5.2,1.24,7.66,15.54,2.6
E01332,8,4.93,4,9.0,2.57,8.39,39.44,4.5
E01333,1,3.57,0,7.9,2.95,2.69,3.57,3.95
E01334,25,3.87,8,8.3,1.59,13.33,96.75,4.15
E01335,23,4.91,2,8.3,4.47,5.06,112.93,4.15
E01336,3,2.51,1,6.8,2.14,5.87,7.53,3.4
E01337,24,4.21,8,5.1,4.13,11.51,101.04,2.55
E01338,23,2.74,6,8.8,3.68,11.1,63.02,4.4
E01339,8,4.48,4,9.3,3.39,5.96,35.84,4.65
E01340,22,1.72,11,1.2,1.77,12.75,37.84,0.6
E01341,25,4.79,5,1.5,1.88,8.82,119.75,0.75
E01342,15,1.88,11,9.6,1.19,11.6,28.2,4.8
E01343,5,2.3,10,3.5,1.96,5.95,11.5,1.75
E01344,3,4.02,15,8.9,2.38,8.12,12.06,4.45
E01345,19,2.58,3,4.5,4.33,7.99,49.02,2.25
E01346,1,3.43,0,2.1,2.47,-0.24,3.43,1.05
E01347,15,2.78,3,1.7,4.02,9.05,41.7,0.85
E01348,8,3.97,8,2.4,2.76,7.0,31.76,1.2
E01349,2,1.91,0,3.2,4.14,5.24,3.82,1.6
E01350,3,1.23,9,5.4,4.91,4.33,3.69,2.7
E01351,24,2.2,2,7.3,1.96,8.76,52.8,3.65
E01352,14,2.9,14,9.9,4.45,12.82,40.6,4.95
E01353,24,1.67,14,5.0,3.49,15.69,40.08,2.5
E01354,14,2.42,4,5.7,4.27,7.41,33.88,2.85
E01355,11,2.6,6,5.7,3.61,5.33,28.6,2.85
E01356,16,1.23,8,5.9,2.7,9.64,19.68,2.95
E01357,4,3.33,5,5.7,1.91,3.98,13.32,2.85
E01358,20,4.54,2,1.1,1.28,9.78,90.8,0.55
E01359,5,1.61,12,1.0,3.14,4.75,8.05,0.5
E01360,22,3.39,6,1.9,4.96,13.47,74.58,0.95
E01361,21,3.66,14,1.9,3.95,10.15,76.86,0.95
E01362,14,2.68,13,7.3,2.31,10.03,37.52,3.65
E01363,23,3.8,3,2.8,4.31,9.18,87.4,1.4
E01364,16,2.64,2,9.1,4.08,7.42,42.24,4.55
E01365,18,3.02,13,9.4,2.13,9.75,54.36,4.7
E01366,7,1.03,6,9.8,1.06,6.38,7.21,4.9
E01367,10,3.77,10,9.5,1.47,9.59,37.7,4.75
E01368,7,3.65,10,3.4,4.51,7.92,25.55,1.7
E01369,1,1.15,6,5.6,4.35,3.17,1.15,2.8
E01370,23,2.47,3,2.6,2.18,9.46,56.81,1.3
E01371,21,4.92,11,8.3,2.14,13.52,103.32,4.15
E01372,19,2.68,6,9.0,4.17,11.56,50.92,4.5
E01373,16,3.01,10,8.7,4.75,4.44,48.16,4.35
E01374,19,4.64,13,4.9,4.12,10.93,88.16,2.45
E01375,4,3.87,1,7.8,3.42,3.96,15.48,3.9
E01376,18,3.33,0,1.9,1.97,8.65,59.94,0.95
E01377,2,4.19,11,1.4,3.1,5.1,8.38,0.7
E01378,1,4.46,14,7.8,1.93,7.49,4.46,3.9
E01379,15,2.83,15,4.8,4.23,7.8,42.45,2.4
E01380,5,2.9,1,10.0,2.55,4.89,14.5,5.0
E01381,20,2.54,3,1.9,4.33,10.47,50.8,0.95
E01382,11,4.87,7,8.7,2.53,5.08,53.57,4.35
E01383,10,3.79,2,5.3,4.3,11.33,37.9,2.65
E01384,2,1.33,14,8.4,2.33,7.62,2.66,4.2
E01385,3,4.45,9,8.4,2.76,5.87,13.35,4.2
E01386,23,2.92,14,9.2,3.46,10.82,67.16,4.6
E01387,23,1.28,5,3.7,1.28,8.69,29.44,1.85
E01388,12,3.2,5,9.5,4.79,7.96,38.4,4.75
E01389,20,2.67,12,2.4,3.29,11.25,53.4,1.2
E01390,5,4.51,8,1.7,3.03,8.68,22.55,0.85
E01391,5,1.82,8,4.9,4.36,4.24,9.1,2.45
E01392,6,4.31,3,8.5,4.46,6.99,25.86,4.25
E01393,9,3.23,8,5.3,3.09,4.16,29.07,2.65
E01394,2,1.22,14,8.5,4.71,4.85,2.44,4.25
E01395,21,4.89,14,7.6,1.26,12.82,102.69,3.8
E01396,12,3.05,12,2.9,1.45,9.18,36.6,1.45
E01397,3,2.16,15,9.5,3.39,4.89,6.48,4.75
E01398,20,2.88,5,1.5,2.42,7.9,57.6,0.75
E01399,22,4.43,15,9.1,2.86,15.78,97.46,4.55
E01400,12,2.22,15,3.7,2.31,10.64,26.64,1.85
E01401,24,1.77,1,5.5,2.62,9.6,42.48,2.75
E01402,17,1.52,9,4.8,4.29,4.37,25.84,2.4
E01403,10,2.19,13,2.5,3.37,12.42,21.9,1.25
E01404,24,4.12,10,4.2,4.99,12.23,98.88,2.1
E01405,14,2.89,5,2.7,4.15,6.83,40.46,1.35
E01406,23,1.91,1,2.8,2.09,7.52,43.93,1.4
E01407,17,1.66,7,2.7,2.06,8.6,28.22,1.35
E01408,18,2.33,3,5.4,2.34,8.71,41.94,2.7
E01409,19,4.76,4,8.2,4.37,12.0,90.44,4.1
E01410,17,2.37,7,6.1,1.11,6.43,40.29,3.05
E01411,14,4.95,13,9.0,1.92,9.44,69.3,4.5
E01412,9,2.94,10,6.7,4.62,11.53,26.46,3.35
E01413,8,1.72,7,7.2,3.56,6.37,13.76,3.6
E01414,2,4.56,11,7.0,1.91,5.36,9.12,3.5
E01415,13,2.84,13,5.0,1.88,6.63,36.92,2.5
E01416,25,3.84,11,7.2,4.45,13.86,96.0,3.6
E01417,7,4.93,15,1.6,4.58,10.21,34.51,0.8
E01418,9,1.2,5,8.7,2.02,7.2,10.8,4.35
E01419,22,1.39,3,8.0,2.68,8.57,30.58,4.0
E01420,22,3.88,14,3.2,4.34,12.86,85.36,1.6
E01421,11,2.13,0,7.9,4.08,9.1,23.43,3.95
E01422,14,1.74,11,1.1,4.26,10.2,24.36,0.55
E01423,4,1.16,6,3.0,3.07,2.21,4.64,1.5
E01424,13,1.09,7,1.6,4.65,1.73,14.17,0.8
E01425,2,4.1,8,8.0,2.3,5.69,8.2,4.0
E01426,23,1.54,1,7.8,1.63,10.42,35.42,3.9
E01427,5,2.87,0,8.3,3.83,2.07,14.35,4.15
E01428,11,3.42,3,1.0,3.16,5.98,37.62,0.5
E01429,6,2.71,12,5.5,4.42,6.19,16.26,2.75
E01430,18,1.11,4,7.3,1.32,7.85,19.98,3.65
E01431,21,4.13,9,2.4,4.37,9.78,86.73,1.2
E01432,10,1.04,11,6.8,2.17,9.31,10.4,3.4
E01433,4,4.05,0,1.8,3.62,4.02,16.2,0.9
E01434,9,4.57,4,2.6,1.16,4.06,41.13,1.3
E01435,6,2.73,5,5.3,3.44,6.94,16.38,2.65
E01436,2,3.14,2,6.9,3.87,1.19,6.28,3.45
E01437,17,2.91,11,2.3,2.48,11.76,49.47,1.15
E01438,5,2.56,14,2.7,1.86,7.95,12.8,1.35
E01439,25,4.55,6,2.8,3.15,14.21,113.75,1.4
E01440,6,4.58,13,3.1,4.33,7.09,27.48,1.55
E01441,12,2.34,5,3.0,2.29,5.3,28.08,1.5
E01442,23,3.46,3,4.6,2.01,9.91,79.58,2.3
E01443,21,4.71,2,6.9,2.12,9.53,98.91,3.45
E01444,10,4.85,4,4.9,4.8,5.88,48.5,2.45
E01445,22,3.04,2,8.0,2.44,8.4,66.88,4.0
E01446,21,2.81,9,7.5,1.01,9.44,59.01,3.75
E01447,25,2.11,8,2.1,4.13,8.64,52.75,1.05
E01448,6,4.84,8,1.4,3.8,7.59,29.04,0.7
E01449,8,1.57,5,8.9,1.51,5.12,12.56,4.45
E01450,2,3.32,12,1.7,4.94,4.87,6.64,0.85
E01451,12,2.13,10,2.3,3.43,5.15,25.56,1.15
E01452,13,2.12,5,1.2,3.0,4.15,27.56,0.6
E01453,25,2.62,11,6.7,2.53,15.8,65.5,3.35
E01454,21,5.0,13,6.2,4.59,11.18,105.0,3.1
E01455,7,1.22,3,9.9,1.98,5.8,8.54,4.95
E01456,10,3.31,3,9.0,2.14,6.58,33.1,4.5
E01457,13,1.33,1,4.7,1.49,-0.15,17.29,2.35
E01458,17,1.62,9,4.3,4.04,12.37,27.54,2.15
E01459,21,2.76,3,3.7,3.38,10.42,57.96,1.85
E01460,14,3.04,7,2.4,3.44,6.21,42.56,1.2
E01461,2,2.04,12,2.2,1.87,4.35,4.08,1.1
E01462,22,2.27,9,2.2,3.6,7.95,49.94,1.1
E01463,11,1.35,1,2.0,4.06,8.7,14.85,1.0
E01464,1,2.21,8,3.2,2.43,1.77,2.21,1.6
E01465,19,4.87,13,3.8,4.21,10.42,92.53,1.9
E01466,21,4.78,0,9.7,2.4,8.2,100.38,4.85
E01467,4,2.34,12,6.2,4.03,6.12,9.36,3.1
E01468,19,3.28,1,9.9,1.13,11.17,62.32,4.95
E01469,21,4.64,14,4.4,3.2,15.61,97.44,2.2
E01470,11,1.02,15,5.1,4.88,7.4,11.22,2.55
E01471,8,4.24,1,3.9,4.92,6.43,33.92,1.95
E01472,11,4.79,10,2.6,2.13,8.07,52.69,1.3
E01473,4,1.37,12,2.3,2.77,2.97,5.48,1.15
E01474,17,1.65,14,9.5,1.25,14.61,28.05,4.75
E01475,7,4.84,13,9.9,4.49,11.25,33.88,4.95
E01476,8,3.15,5,1.4,3.27,5.83,25.2,0.7
E01477,3,1.06,14,2.4,2.54,8.04,3.18,1.2
E01478,22,2.03,13,4.8,1.45,13.21,44.66,2.4
E01479,2,2.8,15,2.7,4.79,6.11,5.6,1.35
E01480,23,3.77,6,4.3,3.12,11.31,86.71,2.15
E01481,15,3.93,12,2.2,2.13,12.14,58.95,1.1
E01482,24,4.98,14,5.1,2.4,11.09,119.52,2.55
E01483,22,2.15,14,3.4,2.08,14.36,47.3,1.7
E01484,22,3.15,2,4.2,3.41,8.91,69.3,2.1
E01485,5,3.13,10,1.8,4.72,8.93,15.65,0.9
E01486,24,2.62,8,4.9,4.43,11.21,62.88,2.45
E01487,1,1.68,4,9.8,2.84,4.0,1.68,4.9
E01488,4,4.91,4,4.0,4.31,5.16,19.64,2.0
E01489,15,4.41,10,8.9,2.69,8.63,66.15,4.45
E01490,20,2.99,11,8.6,2.01,10.12,59.8,4.3
E01491,19,3.41,3,9.6,4.93,12.37,64.79,4.8
E01492,3,1.91,8,8.1,2.22,-0.11,5.73,4.05
E01493,20,3.18,7,6.9,2.29,7.34,63.6,3.45
E01494,11,3.78,11,8.7,4.96,7.42,41.58,4.35
E01495,17,3.06,3,1.7,1.54,5.25,52.02,0.85
E01496,13,4.96,3,5.2,4.04,10.83,64.48,2.6
E01497,11,3.45,15,9.9,4.74,12.13,37.95,4.95
E01498,2,2.48,1,7.9,3.05,4.38,4.96,3.95
E01499,9,4.09,8,9.7,1.01,5.83,36.81,4.85
E01500,2,1.68,2,8.0,2.5,5.64,3.36,4.0
E01501,21,2.54,3,8.9,1.45,5.92,53.34,4.45
E01502,9,2.39,13,7.4,2.66,11.81,21.51,3.7
E01503,9,2.73,6,7.8,4.16,5.23,24.57,3.9
E01504,8,4.13,9,5.7,2.75,6.45,33.04,2.85
E01505,17,2.94,7,9.3,2.73,8.29,49.98,4.65
E01506,1,4.18,7,8.4,3.23,2.71,4.18,4.2
E01507,25,3.31,15,8.6,3.33,17.2,82.75,4.3
E01508,11,2.37,3,7.1,4.43,8.02,26.07,3.55
E01509,8,4.24,14,3.7,2.23,10.14,33.92,1.85
E01510,10,1.95,6,1.3,4.29,3.52,19.5,0.65
E01511,25,1.9,9,9.4,3.26,12.01,47.5,4.7
E01512,7,3.02,0,6.3,2.2,5.42,21.14,3.15
E01513,3,2.04,15,3.7,2.18,6.06,6.12,1.85
E01514,3,1.04,5,2.3,2.44,0.71,3.12,1.15
E01515,18,3.59,5,8.5,3.49,11.54,64.62,4.25
E01516,5,3.04,5,8.5,1.92,5.19,15.2,4.25
E01517,12,2.78,15,8.3,4.68,7.57,33.36,4.15
E01518,12,4.87,11,6.8,3.3,5.38,58.44,3.4
E01519,19,3.28,1,4.3,4.68,9.79,62.32,2.15
E01520,6,4.45,7,3.7,1.19,10.49,26.7,1.85
E01521,2,1.56,13,1.1,2.37,2.38,3.12,0.55
E01522,12,3.28,14,8.5,1.09,9.12,39.36,4.25
E01523,19,4.47,15,1.8,2.09,13.31,84.93,0.9
E01524,5,3.33,14,6.7,4.45,4.65,16.65,3.35
E01525,12,3.87,4,5.5,1.15,5.77,46.44,2.75
E01526,17,2.49,15,5.7,2.74,8.49,42.33,2.85
E01527,17,1.37,4,9.3,1.47,9.64,23.29,4.65
E01528,10,2.83,1,1.3,2.67,7.65,28.3,0.65
E01529,25,2.58,15,8.0,4.36,13.52,64.5,4.0
E01530,23,4.47,3,1.5,3.49,8.45,102.81,0.75
E01531,17,1.98,11,1.3,3.95,8.13,33.66,0.65
E01532,15,4.87,8,4.9,2.4,7.76,73.05,2.45
E01533,12,4.83,8,1.6,4.78,6.29,57.96,0.8
E01534,16,1.99,5,8.1,3.84,7.97,31.84,4.05
E01535,24,2.39,10,5.8,2.69,12.42,57.36,2.9
E01536,19,4.58,14,1.3,2.71,11.98,87.02,0.65
E01537,8,4.87,8,1.4,4.67,7.01,38.96,0.7
E01538,21,2.77,3,6.5,3.31,9.43,58.17,3.25
E01539,17,2.28,14,8.3,3.83,10.24,38.76,4.15
E01540,23,3.1,10,4.9,2.67,8.57,71.3,2.45
E01541,5,3.75,0,6.0,1.89,4.3,18.75,3.0
E01542,22,2.09,1,8.2,3.89,8.07,45.98,4.1
E01543,16,3.95,12,6.5,3.43,7.42,63.2,3.25
E01544,6,1.21,0,3.0,3.01,3.93,7.26,1.5
E01545,8,1.2,7,6.5,3.5,4.41,9.6,3.25
E01546,25,2.55,8,6.7,1.83,11.61,63.75,3.35
E01547,18,2.41,15,7.6,4.18,12.66,43.38,3.8
E01548,25,2.26,9,6.6,4.79,9.92,56.5,3.3
E01549,12,2.96,11,9.7,4.56,9.05,35.52,4.85
E01550,15,2.28,5,2.8,2.29,3.53,34.2,1.4
E01551,9,1.77,1,9.6,2.62,8.16,15.93,4.8
E01552,13,2.24,5,5.8,4.23,4.5,29.12,2.9
E01553,15,4.9,8,7.0,3.38,8.41,73.5,3.5
E01554,10,2.64,11,1.9,3.19,9.76,26.4,0.95
E01555,16,2.78,2,4.4,4.71,7.22,44.48,2.2
E01556,7,3.31,8,7.9,3.14,4.05,23.17,3.95
E01557,17,4.93,1,7.4,3.06,10.05,83.81,3.7
E01558,23,1.97,10,1.4,1.17,11.44,45.31,0.7
E01559,21,3.73,4,5.9,1.28,8.17,78.33,2.95
E01560,22,3.86,10,1.8,1.03,9.48,84.92,0.9
E01561,7,3.43,1,10.0,4.65,4.73,24.01,5.0
E01562,14,1.35,6,9.1,2.63,6.96,18.9,4.55
E01563,15,3.71,10,1.2,2.87,4.89,55.65,0.6
E01564,21,1.26,9,8.7,4.38,9.99,26.46,4.35
E01565,7,3.38,14,9.3,3.44,11.44,23.66,4.65
E01566,9,3.96,8,4.2,3.44,5.2,35.64,2.1
E01567,19,1.84,6,7.5,2.19,7.66,34.96,3.75
E01568,16,4.37,11,5.0,4.34,7.75,69.92,2.5
E01569,8,1.12,4,6.9,1.66,5.89,8.96,3.45
E01570,18,4.38,14,4.1,1.21,13.01,78.84,2.05
E01571,23,2.84,3,3.9,1.77,11.74,65.32,1.95
E01572,18,1.87,11,4.8,2.07,6.75,33.66,2.4
E01573,20,1.54,3,2.3,2.13,8.87,30.8,1.15
E01574,7,4.81,14,8.5,3.68,11.28,33.67,4.25
E01575,3,1.29,9,4.1,1.87,5.02,3.87,2.05
E01576,18,1.8,7,4.6,3.71,9.68,32.4,2.3
E01577,10,2.39,9,9.0,1.36,5.98,23.9,4.5
E01578,7,3.48,12,5.5,1.59,7.2,24.36,2.75
E01579,17,3.18,9,5.9,3.04,11.84,54.06,2.95
E01580,14,1.5,13,9.6,4.69,9.95,21.0,4.8
E01581,24,2.16,9,9.0,4.44,9.16,51.84,4.5
E01582,3,1.96,9,2.5,4.88,3.8,5.88,1.25
E01583,12,1.85,9,5.3,3.6,9.81,22.2,2.65
E01584,13,2.64,0,9.7,3.7,7.32,34.32,4.85
E01585,2,3.82,4,4.4,3.5,4.31,7.64,2.2
E01586,3,1.87,13,4.3,3.49,4.27,5.61,2.15
E01587,5,2.47,1,2.8,1.59,5.66,12.35,1.4
E01588,11,2.56,15,2.0,3.17,11.48,28.16,1.0
E01589,8,4.91,12,7.7,2.54,10.57,39.28,3.85
E01590,23,4.82,10,7.9,2.77,15.06,110.86,3.95
E01591,23,4.2,8,9.7,3.09,11.05,96.6,4.85
E01592,12,1.97,6,8.0,1.51,5.69,23.64,4.0
E01593,7,1.27,15,3.2,2.44,6.1,8.89,1.6
E01594,15,2.27,9,1.4,1.25,7.68,34.05,0.7
E01595,24,2.07,7,9.9,4.92,14.26,49.68,4.95
E01596,17,3.02,5,4.1,1.47,10.34,51.34,2.05
E01597,4,4.11,8,3.8,2.03,6.31,16.44,1.9
E01598,22,4.43,5,9.2,4.57,8.34,97.46,4.6
E01599,25,4.38,6,6.3,2.93,8.29,109.5,3.15
E01600,13,2.44,6,2.9,1.54,7.15,31.72,1.45
E01601,18,3.75,15,9.0,2.54,13.07,67.5,4.5
E01602,1,2.25,8,9.9,1.46,3.92,2.25,4.95
E01603,16,1.24,10,1.8,1.8,11.67,19.84,0.9
E01604,13,3.81,7,8.8,1.21,5.78,49.53,4.4
E01605,10,1.04,12,4.5,2.75,4.4,10.4,2.25
E01606,12,2.64,0,5.7,4.23,4.74,31.68,2.85
E01607,2,2.32,3,9.2,3.34,2.31,4.64,4.6
E01608,23,3.77,6,9.8,3.43,12.33,86.71,4.9
E01609,3,4.06,10,3.4,1.8,4.38,12.18,1.7
E01610,10,2.22,7,2.9,2.38,2.96,22.2,1.45
E01611,2,4.25,6,1.7,4.38,6.33,8.5,0.85
E01612,23,2.18,11,6.1,1.35,7.33,50.14,3.05
E01613,13,2.79,2,1.1,4.43,4.27,36.27,0.55
E01614,13,3.91,14,4.7,2.93,6.07,50.83,2.35
E01615,18,3.77,3,1.7,4.35,8.96,67.86,0.85
E01616,3,4.95,11,4.6,2.27,6.37,14.85,2.3
E01617,7,1.9,6,1.4,2.36,8.5,13.3,0.7
E01618,14,3.65,7,8.5,4.01,10.54,51.1,4.25
E01619,20,3.44,6,2.9,4.14,12.58,68.8,1.45
E01620,17,4.66,5,4.0,1.92,9.33,79.22,2.0
E01621,21,1.63,8,8.8,4.89,8.46,34.23,4.4
E01622,12,4.01,8,7.7,1.34,8.1,48.12,3.85
E01623,25,3.27,10,3.0,1.27,12.55,81.75,1.5
E01624,16,2.1,12,1.6,3.38,10.28,33.6,0.8
E01625,24,2.9,6,7.4,3.89,10.13,69.6,3.7
E01626,12,2.34,7,4.5,4.84,8.33,28.08,2.25
E01627,15,3.32,5,7.9,2.62,6.28,49.8,3.95
E01628,25,4.56,0,5.0,1.1,7.96,114.0,2.5
E01629,10,3.28,0,4.1,3.41,3.17,32.8,2.05
E01630,25,3.53,15,5.1,2.16,12.9,88.25,2.55
E01631,7,3.07,5,7.7,2.73,3.29,21.49,3.85
E01632,20,1.2,1,9.1,2.95,7.33,24.0,4.55
E01633,5,1.93,13,1.4,1.26,7.07,9.65,0.7
E01634,1,2.97,7,5.7,2.94,1.99,2.97,2.85
E01635,17,2.24,0,1.3,2.71,5.66,38.08,0.65
E01636,3,1.73,12,5.2,3.85,5.43,5.19,2.6
E01637,13,3.02,1,9.0,3.58,7.42,39.26,4.5
E01638,14,2.29,7,4.3,1.74,6.3,32.06,2.15
E01639,24,2.03,15,9.4,1.82,13.89,48.72,4.7
E01640,18,2.86,11,6.7,2.0,10.99,51.48,3.35
E01641,4,1.53,5,9.4,1.72,6.38,6.12,4.7
E01642,18,4.71,11,7.8,3.63,10.83,84.78,3.9
E01643,5,4.47,9,1.9,4.98,5.25,22.35,0.95
E01644,25,3.83,1,3.1,3.61,8.9,95.75,1.55
E01645,16,1.42,1,4.5,3.43,7.32,22.72,2.25
