State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
District of Columbia,348.01,660,281.74,585,NA,49,1/7/2015
Florida,300.9,9429,216.68,8223,NA,700,1/7/2015
Georgia,323.91,4456,217.47,3495,NA,306,1/7/2015
Hawaii,307.46,456,262.73,527,NA,30,1/7/2015
Idaho,274.99,453,244.79,679,NA,36,1/7/2015
Illinois,353.49,5664,282.75,5554,NA,454,1/7/2015
Indiana,332.55,2398,215.06,2272,NA,327,1/7/2015
Iowa,365.02,977,289.4,1055,NA,122,1/7/2015
Kansas,349.76,1168,259.78,1009,NA,138,1/7/2015
Kentucky,339.13,1499,182.12,1520,NA,180,1/7/2015
Louisiana,361.82,1529,241.36,1357,NA,322,1/7/2015
Maine,312.31,623,234.94,661,NA,62,1/7/2015
Montana,265.51,739,246.68,371,NA,32,1/7/2015
Nebraska,335.5,696,246.01,729,NA,76,1/7/2015
Nevada,265.23,1247,226.18,1436,NA,78,1/7/2015
New Hampshire,353.8,603,289.61,662,NA,51,1/7/2015
New Jersey,345.31,3072,286.26,4230,NA,256,1/7/2015
New Mexico,288.69,806,219.29,670,NA,68,1/7/2015
New York,343.84,7878,263.55,8777,NA,618,1/7/2015
North Carolina,345.21,4134,245.7,3059,NA,318,1/7/2015
North Dakota,393.94,213,338.84,328,NA,23,1/7/2015
Ohio,332.5,4269,219.17,4305,NA,552,1/7/2015
Oklahoma,353.52,1125,238.25,1076,NA,197,1/7/2015
Oregon,205.62,2195,180.9,2031,NA,97,1/7/2015
Maryland,365.87,2882,255.99,2486,NA,193,1/7/2015
Massachusetts,345.4,4020,285.35,3812,NA,289,1/7/2015
Michigan,287.81,4010,270.39,3754,NA,298,1/7/2015
Minnesota,351.12,2378,272.89,2485,NA,129,1/7/2015
Mississippi,335.37,615,150.94,552,NA,144,1/7/2015
Missouri,351.66,2230,245.27,2126,NA,300,1/7/2015
Pennsylvania,362.84,5557,269.22,5018,NA,507,1/7/2015
Rhode Island,317.06,723,259.4,564,NA,47,1/7/2015
South Carolina,337.11,1698,205.39,1421,NA,164,1/7/2015
South Dakota,358.24,223,348.81,256,NA,25,1/7/2015
Tennessee,347.89,2249,225.71,1927,NA,221,1/7/2015
Texas,334.03,8298,233.26,8644,NA,1152,1/7/2015
Utah,290.16,964,237.41,1069,NA,62,1/7/2015
Vermont,370.66,361,308.53,369,NA,32,1/7/2015
Virginia,364.85,3532,292.27,3117,NA,288,1/7/2015
Washington,233.07,3358,189.92,3588,NA,160,1/7/2015
West Virginia,357.98,557,225.2,550,NA,60,1/7/2015
Wisconsin,350.55,2253,272.34,2234,NA,167,1/7/2015
Wyoming,320.39,133,351.3,198,NA,12,1/7/2015
Alabama,340.09,1107,200.68,995,152.02,129,2/7/2014
Alaska,286.54,270,254.28,316,388.58,26,2/7/2014
Arizona,303.28,2033,210.44,1721,195.85,232,2/7/2014
Arkansas,358.53,608,182.92,578,128.14,121,2/7/2014
California,248.36,12671,192.9,13531,191.52,810,2/7/2014
Colorado,237.34,2330,198.23,1922,223.6,139,2/7/2014
Connecticut,346.79,1360,273.89,1407,252.31,95,2/7/2014
Delaware,373.46,365,227.38,285,199.89,35,2/7/2014
District of Columbia,349.92,464,293.13,374,208.53,41,2/7/2014
Florida,305.71,6909,219.97,5588,154.33,535,2/7/2014
Georgia,332.38,3265,214.54,2395,153.61,236,2/7/2014
Hawaii,308.15,341,272.51,372,162.11,26,2/7/2014
Idaho,276.08,329,258.28,469,133.75,22,2/7/2014
Illinois,356.34,4245,287.8,3843,176.42,358,2/7/2014
Indiana,335.62,1768,208.76,1538,161.26,258,2/7/2014
Iowa,369.86,728,293.29,689,249.95,106,2/7/2014
Kansas,354.66,869,260.8,674,113.7,111,2/7/2014
Kentucky,339.18,1066,181.33,1035,124.52,141,2/7/2014
Louisiana,373.94,1144,242.68,925,149.14,241,2/7/2014
Maine,320.45,474,259.28,457,214.8,52,2/7/2014
Montana,270.27,604,251.88,278,734.65,22,2/7/2014
Nebraska,349.2,536,249.2,536,142.51,63,2/7/2014
Nevada,270.04,942,219.16,979,252.49,63,2/7/2014
New Hampshire,376.43,455,289.12,475,550.95,40,2/7/2014
New Jersey,354.4,2339,292.53,2959,232.29,202,2/7/2014
New Mexico,293.33,590,205.83,457,63.7,42,2/7/2014
New York,351.46,6100,268.58,6163,189.91,500,2/7/2014
North Carolina,355.68,2949,247.42,2017,150.59,238,2/7/2014
North Dakota,409.97,146,335.69,218,363.11,16,2/7/2014
Ohio,336.59,3210,213.75,2993,166.95,417,2/7/2014
Oklahoma,364.03,798,227.59,719,120.16,136,2/7/2014
Oregon,212.22,1687,188.74,1396,172.23,66,2/7/2014
Maryland,380.73,2087,250.14,1659,193.74,155,2/7/2014
Massachusetts,352.66,3018,296.82,2601,221.93,228,2/7/2014
Michigan,297.82,3181,276.44,2671,226.58,235,2/7/2014
Minnesota,369.77,1795,278.61,1646,181.28,103,2/7/2014
Mississippi,339.19,435,148.86,375,143.69,106,2/7/2014
Missouri,367.32,1645,241.83,1371,150,215,2/7/2014
Pennsylvania,371.14,4073,266.4,3437,191.47,388,2/7/2014
Rhode Island,332.73,553,260.8,379,201.75,34,2/7/2014
South Carolina,346.14,1223,202.34,960,173.44,127,2/7/2014
South Dakota,389.9,170,367.51,177,124.17,21,2/7/2014
Tennessee,358.24,1646,226,1313,195.74,159,2/7/2014
Texas,341.83,6306,236.32,6050,144.35,905,2/7/2014
Utah,292.54,718,234.27,734,187.95,45,2/7/2014
Vermont,377.22,289,321.36,242,187.64,25,2/7/2014
Virginia,373.57,2600,287.62,2098,226.45,221,2/7/2014
Washington,235.56,2452,191.2,2486,153.14,114,2/7/2014
West Virginia,363.67,386,197.14,394,158.3,41,2/7/2014
Wisconsin,357.79,1709,271.09,1466,239.71,137,2/7/2014
Wyoming,354.03,94,378.82,138,161.3,11,2/7/2014
Alabama,335.88,1589,210.25,1537,NA,195,2/7/2015
Alaska,303.03,362,270.42,495,NA,37,2/7/2015
Arizona,296.92,2746,208.25,2548,NA,318,2/7/2015
Arkansas,341.44,879,209.03,873,NA,150,2/7/2015
California,243.16,16985,188.87,19873,NA,1129,2/7/2015
Colorado,242.68,3259,195.97,3002,NA,188,2/7/2015
Connecticut,336.27,1882,266.94,2153,NA,131,2/7/2015
Delaware,363.18,509,234.15,454,NA,44,2/7/2015
District of Columbia,348.75,683,283.96,617,NA,49,2/7/2015
Florida,300.09,9701,216.2,8603,NA,719,2/7/2015
Georgia,322.57,4627,217.26,3646,NA,315,2/7/2015
Hawaii,306.69,467,262.05,545,NA,31,2/7/2015
Idaho,275.45,467,243.17,697,NA,36,2/7/2015
Illinois,352.32,5819,282.07,5766,NA,462,2/7/2015
Indiana,331.45,2470,216.49,2349,NA,336,2/7/2015
Iowa,364.09,1000,289.25,1095,NA,123,2/7/2015
Kansas,349.03,1195,259.14,1056,NA,143,2/7/2015
Kentucky,338.33,1554,173.34,1574,NA,183,2/7/2015
Louisiana,360.74,1587,241.31,1423,NA,332,2/7/2015
Maine,304.96,633,234.69,688,NA,65,2/7/2015
Montana,265.31,750,247.03,384,NA,32,2/7/2015
Nebraska,335.03,715,243.6,764,NA,76,2/7/2015
Nevada,265.71,1283,226.61,1488,NA,79,2/7/2015
New Hampshire,352.93,613,292.7,680,NA,52,2/7/2015
New Jersey,345.21,3176,285.55,4400,NA,263,2/7/2015
New Mexico,288.03,830,219.18,687,NA,71,2/7/2015
New York,342.95,8086,262.88,9068,NA,633,2/7/2015
North Carolina,344.6,4269,245.96,3174,NA,329,2/7/2015
North Dakota,387.11,216,319.28,346,NA,26,2/7/2015
Ohio,332.43,4410,219.77,4490,NA,564,2/7/2015
Oklahoma,352.42,1167,238.79,1114,NA,200,2/7/2015
Oregon,205.42,2239,180.41,2107,NA,99,2/7/2015
Maryland,362.61,2980,267.97,2584,NA,198,2/7/2015
Massachusetts,343.96,4116,284.23,3955,NA,294,2/7/2015
Michigan,287.6,4097,268.7,3887,NA,306,2/7/2015
Minnesota,347.9,2464,273.62,2599,NA,134,2/7/2015
Mississippi,334.85,643,151.57,583,NA,152,2/7/2015
Missouri,349.16,2295,245.89,2219,NA,305,2/7/2015
Pennsylvania,362.13,5713,269.43,5208,NA,522,2/7/2015
Rhode Island,316.56,733,256.61,596,NA,47,2/7/2015
South Carolina,336.57,1763,205.42,1463,NA,166,2/7/2015
South Dakota,359.66,225,347.79,266,NA,26,2/7/2015
Tennessee,347.61,2323,226.14,2013,NA,232,2/7/2015
Texas,333,8520,232.19,8983,NA,1179,2/7/2015
Utah,289.03,989,235.82,1117,NA,66,2/7/2015
Vermont,369.26,372,306.19,385,NA,32,2/7/2015
Virginia,364.43,3646,290.78,3245,NA,295,2/7/2015
Washington,232.74,3446,188.77,3706,NA,162,2/7/2015
West Virginia,357.68,570,225.94,572,NA,60,2/7/2015
Wisconsin,348.4,2318,271.15,2346,NA,171,2/7/2015
Wyoming,322.28,134,347.55,203,NA,13,2/7/2015
Alabama,340.52,1153,203.68,1049,147.52,134,3/7/2014
Alaska,285.75,282,252.7,329,388.58,26,3/7/2014
Arizona,303.11,2101,209.69,1790,194.81,240,3/7/2014
Arkansas,352.58,636,182.69,599,126.75,125,3/7/2014
California,247.26,13097,192.93,14026,192.21,842,3/7/2014
Colorado,237.72,2429,197.52,2003,226.03,146,3/7/2014
Connecticut,346.76,1400,275.7,1471,252.31,95,3/7/2014
Delaware,371.81,379,227.59,304,206.61,36,3/7/2014
District of Columbia,349.37,482,293.5,392,208.53,41,3/7/2014
Florida,305.31,7208,219.83,5866,153.02,555,3/7/2014
Georgia,330.38,3399,214.34,2500,151.87,241,3/7/2014
Hawaii,307.79,354,275.69,387,167.62,27,3/7/2014
Idaho,275.94,338,256.4,494,129.39,24,3/7/2014
Illinois,358.05,4385,287.43,3985,176.94,365,3/7/2014
Indiana,334.68,1845,208.42,1613,168.44,262,3/7/2014
Iowa,370.92,757,290.87,725,247.69,107,3/7/2014
Kansas,351.82,907,262.31,713,122.52,115,3/7/2014
Kentucky,337.69,1113,181.49,1077,124.72,143,3/7/2014
Louisiana,372.59,1175,243.12,966,149.14,249,3/7/2014
Maine,319.92,488,258.65,469,213.48,53,3/7/2014
Montana,269.69,617,251.21,289,704.89,23,3/7/2014
Nebraska,347.09,561,249.12,555,141.76,65,3/7/2014
Nevada,268.31,966,217.53,1031,252.49,63,3/7/2014
New Hampshire,370.32,467,289.85,489,677.38,41,3/7/2014
New Jersey,353.4,2409,291.98,3075,231.66,208,3/7/2014
New Mexico,290.9,615,215.43,477,69.76,43,3/7/2014
New York,350.98,6253,267.51,6419,189.82,511,3/7/2014
North Carolina,354.09,3069,247.02,2125,151.27,246,3/7/2014
North Dakota,401.98,157,355.14,231,363.11,16,3/7/2014
Ohio,336.18,3331,213.86,3137,166.05,428,3/7/2014
Oklahoma,365.29,828,228.06,754,118.75,147,3/7/2014
Oregon,211.58,1739,188.79,1457,171.08,69,3/7/2014
Maryland,379.08,2160,251.02,1729,191.01,163,3/7/2014
Massachusetts,351.76,3121,295.51,2711,217.76,235,3/7/2014
Michigan,297.27,3265,273.69,2777,226.62,241,3/7/2014
Minnesota,368.28,1860,277.55,1724,179.7,104,3/7/2014
Mississippi,340.59,461,147.56,396,139.64,114,3/7/2014
Missouri,367.5,1722,243.56,1433,149.28,219,3/7/2014
Pennsylvania,370,4247,266.84,3599,190.29,397,3/7/2014
Rhode Island,331.71,573,259.58,393,201.75,34,3/7/2014
South Carolina,345.42,1276,202.78,1003,192.25,133,3/7/2014
South Dakota,388.48,178,353.22,186,124.17,21,3/7/2014
Tennessee,356.06,1707,226.92,1379,191.63,169,3/7/2014
Texas,341.49,6548,235.22,6331,144.25,936,3/7/2014
Utah,292.7,739,235.09,767,189.78,47,3/7/2014
Vermont,376.96,293,320.6,257,190.36,26,3/7/2014
Virginia,372.72,2682,288.22,2188,225.82,226,3/7/2014
Washington,234.55,2546,191.67,2586,146.45,118,3/7/2014
West Virginia,360.61,406,216.46,407,160.38,43,3/7/2014
Wisconsin,356.79,1764,270.01,1529,240.15,139,3/7/2014
Wyoming,352.41,97,374.52,145,161.3,11,3/7/2014
Alabama,341.43,1220,204.4,1092,143.98,143,4/7/2014
Alaska,289.76,289,256.77,346,388.58,26,4/7/2014
Arizona,301.63,2170,208.47,1875,194.43,252,4/7/2014
Arkansas,352.22,664,184.4,623,129.26,127,4/7/2014
California,246.41,13480,192.86,14642,192.64,869,4/7/2014
Colorado,237.23,2528,196.97,2103,229.15,151,4/7/2014
Connecticut,345.87,1445,275.18,1520,250.9,98,4/7/2014
Delaware,372.6,392,226.25,317,212.14,37,4/7/2014
District of Columbia,347.12,497,291.1,413,214.35,44,4/7/2014
Florida,304.74,7505,218.7,6124,152.44,579,4/7/2014
Georgia,329.45,3535,214.64,2615,154.62,250,4/7/2014
Hawaii,314.68,366,276.77,404,167.62,27,4/7/2014
Idaho,275.46,350,255.61,514,140.27,26,4/7/2014
Illinois,357.13,4537,286.55,4146,189.87,376,4/7/2014
Indiana,334.82,1891,209.33,1685,157.92,272,4/7/2014
Iowa,370.51,777,292.72,755,247.1,110,4/7/2014
Kansas,351.21,941,261.54,742,121.53,117,4/7/2014
Kentucky,340.34,1161,183.17,1136,126.04,147,4/7/2014
Louisiana,370.23,1218,243.66,1007,148.14,258,4/7/2014
Maine,318.98,505,258.83,492,216.72,56,4/7/2014
Montana,268.72,630,250.35,301,660.67,25,4/7/2014
Nebraska,344.73,579,250.49,566,140.02,68,4/7/2014
Nevada,267.71,1001,227.25,1072,243.46,66,4/7/2014
New Hampshire,360.8,479,290.91,507,677.38,41,4/7/2014
New Jersey,352.67,2482,291.23,3202,232.13,215,4/7/2014
New Mexico,291.36,630,201.18,499,75.24,46,4/7/2014
New York,350,6419,266.66,6654,205.61,523,4/7/2014
North Carolina,353.94,3193,245.52,2226,150.41,251,4/7/2014
North Dakota,391.94,165,364.13,237,347.51,17,4/7/2014
Ohio,336.1,3435,215.24,3275,164.9,440,4/7/2014
Oklahoma,366.68,858,230.49,788,121.24,151,4/7/2014
Oregon,210.47,1790,185.95,1518,166.42,73,4/7/2014
Maryland,376.28,2245,250.2,1808,189.87,166,4/7/2014
Massachusetts,350.09,3218,294.2,2815,219.35,240,4/7/2014
Michigan,295.17,3351,273.15,2870,228.49,245,4/7/2014
Minnesota,367.59,1935,277.45,1809,186.51,106,4/7/2014
Mississippi,341.86,476,146.76,408,141.39,118,4/7/2014
Missouri,368.04,1786,245.08,1523,148.95,228,4/7/2014
Pennsylvania,368.7,4399,267.7,3726,194.37,412,4/7/2014
Rhode Island,331.15,584,259.21,407,201.75,34,4/7/2014
South Carolina,344.69,1316,202.66,1055,186.19,138,4/7/2014
South Dakota,388.48,178,354.49,193,124.17,21,4/7/2014
Tennessee,356.48,1772,226.03,1430,189.4,173,4/7/2014
Texas,340.02,6754,234.39,6593,142.45,960,4/7/2014
Utah,290.98,770,241.28,801,189.95,49,4/7/2014
Vermont,376.45,303,319.68,263,190.36,26,4/7/2014
Virginia,371.26,2769,288.14,2279,225.22,233,4/7/2014
Washington,233.91,2629,190.92,2673,143.67,121,4/7/2014
West Virginia,358.09,430,214.48,425,158.25,46,4/7/2014
Wisconsin,356.19,1811,270.55,1603,242.49,140,4/7/2014
Wyoming,354.33,104,370.55,148,161.3,11,4/7/2014
Alabama,341,1265,204.9,1135,143.76,144,5/7/2014
Alaska,288.19,300,256.42,357,373.01,28,5/7/2014
Arizona,300.82,2232,208.37,1948,190.59,262,5/7/2014
Arkansas,352.11,687,183.76,648,129.02,128,5/7/2014
California,246.05,13863,192.68,15156,191.4,900,5/7/2014
Colorado,236.68,2607,196.74,2195,233.09,155,5/7/2014
Connecticut,344.95,1478,272.34,1568,251.03,100,5/7/2014
Delaware,369.76,405,228.59,323,209.72,38,5/7/2014
District of Columbia,347,512,292,425,209.83,47,5/7/2014
Florida,304.06,7775,217.53,6390,152.89,595,5/7/2014
Georgia,328.82,3639,214.87,2716,153.3,260,5/7/2014
Hawaii,314.53,377,267.52,419,165.55,28,5/7/2014
Idaho,276.18,358,252.73,525,139.21,27,5/7/2014
Illinois,356.36,4664,286.28,4286,189.41,386,5/7/2014
Indiana,334.94,1951,210.36,1753,156.68,278,5/7/2014
Iowa,368.73,802,289.4,784,247.1,110,5/7/2014
Kansas,350.31,964,261.81,773,118.41,121,5/7/2014
Kentucky,339.24,1200,182.78,1178,124.69,155,5/7/2014
Louisiana,369.4,1256,244.64,1050,145.8,266,5/7/2014
Maine,317.35,517,257.62,514,274.25,58,5/7/2014
Montana,268.17,640,252.4,310,645.6,26,5/7/2014
Nebraska,344.25,596,251.27,583,136.34,70,5/7/2014
Nevada,268.39,1032,227.57,1109,244.08,67,5/7/2014
New Hampshire,359.39,490,291.36,523,677.38,41,5/7/2014
New Jersey,351.43,2550,290.72,3298,224.99,221,5/7/2014
New Mexico,290.62,644,201,520,87.84,50,5/7/2014
New York,348.92,6577,266.48,6864,205.18,532,5/7/2014
North Carolina,352.04,3310,244.3,2324,150.56,257,5/7/2014
North Dakota,399.39,173,350.39,245,334.13,18,5/7/2014
Ohio,336.08,3533,216.45,3399,163.88,453,5/7/2014
Oklahoma,366.38,878,234.87,823,119.23,158,5/7/2014
Oregon,209.81,1822,185.71,1563,163.84,77,5/7/2014
Maryland,374.46,2308,250.13,1874,188.84,169,5/7/2014
Massachusetts,350.84,3310,294.11,2910,219.43,245,5/7/2014
Michigan,295.34,3426,277.2,2967,275.43,252,5/7/2014
Minnesota,366.95,1989,276.54,1889,183.45,108,5/7/2014
Mississippi,340.66,494,146.42,426,140.57,120,5/7/2014
Missouri,368.02,1832,243.12,1594,143.12,243,5/7/2014
Pennsylvania,368.01,4517,267.54,3878,195.57,427,5/7/2014
Rhode Island,330.62,595,258.53,418,208.36,35,5/7/2014
South Carolina,342.62,1365,200.83,1086,186.91,139,5/7/2014
South Dakota,382.94,183,351.85,203,123.94,22,5/7/2014
Tennessee,355.08,1825,225.36,1485,187.46,176,5/7/2014
Texas,339.1,6933,234,6836,142.7,990,5/7/2014
Utah,290.11,794,240.01,828,201.13,52,5/7/2014
Vermont,376.44,314,321.01,277,190.36,26,5/7/2014
Virginia,370.03,2855,288.88,2373,222,241,5/7/2014
Washington,233.39,2685,190.36,2762,141.86,124,5/7/2014
West Virginia,355.06,444,214.78,433,156.1,48,5/7/2014
Wisconsin,354.86,1859,271.99,1664,239.18,144,5/7/2014
Wyoming,350.72,108,359.51,156,161.3,11,5/7/2014
Alabama,340.59,1309,203.68,1177,146.12,151,6/7/2014
Alaska,285.18,309,263.07,376,359.87,30,6/7/2014
Arizona,302.48,2284,208.6,2009,186.22,272,6/7/2014
Arkansas,349.87,710,184.18,666,126.41,132,6/7/2014
California,245.69,14253,192.23,15694,189.77,933,6/7/2014
Colorado,236.92,2677,196.48,2266,231.56,158,6/7/2014
Connecticut,343.69,1514,272.85,1622,258.75,101,6/7/2014
Delaware,368.97,410,225.19,338,204.86,39,6/7/2014
District of Columbia,346.23,535,291.67,446,209.83,47,6/7/2014
Florida,303.01,8025,217.82,6638,151.73,607,6/7/2014
Georgia,326.97,3752,215.23,2827,145.33,269,6/7/2014
Hawaii,313.34,383,276.72,435,165.55,28,6/7/2014
Idaho,275.7,367,251.34,542,136.89,28,6/7/2014
Illinois,356.23,4766,285.18,4430,189.96,396,6/7/2014
Indiana,333.53,2011,210.89,1832,156.69,283,6/7/2014
Iowa,366.99,821,289.86,817,247.1,110,6/7/2014
Kansas,349.94,990,259.44,795,120.31,125,6/7/2014
Kentucky,339.3,1238,182.22,1223,124.06,159,6/7/2014
Louisiana,367.87,1302,244.39,1097,143.78,276,6/7/2014
Maine,317.45,529,256.46,532,272.95,59,6/7/2014
Montana,267.88,653,252.01,316,632.31,27,6/7/2014
Nebraska,343.6,608,250.53,603,133.37,73,6/7/2014
Nevada,268.1,1056,230.13,1162,238.93,69,6/7/2014
New Hampshire,359.18,505,290.47,537,657.98,43,6/7/2014
New Jersey,350.55,2611,289.52,3402,224.74,222,6/7/2014
New Mexico,291.8,662,201.92,534,85.81,52,6/7/2014
New York,347.49,6726,266.08,7105,205.91,542,6/7/2014
North Carolina,350.61,3412,245.25,2418,151.44,265,6/7/2014
North Dakota,400.69,177,362.88,255,348.9,19,6/7/2014
Ohio,335.91,3620,216.62,3525,163.26,470,6/7/2014
Oklahoma,365.46,900,233.74,857,118.49,161,6/7/2014
Oregon,209.4,1863,185.31,1612,162.91,79,6/7/2014
Maryland,372.16,2373,250.82,1955,187.17,174,6/7/2014
Massachusetts,350.78,3416,292.93,3017,221.92,249,6/7/2014
Michigan,294.42,3505,276.64,3069,273.42,257,6/7/2014
Minnesota,359.5,2041,278.42,1964,181.83,109,6/7/2014
Mississippi,337.23,516,146.66,448,146.82,123,6/7/2014
Missouri,364.76,1882,244.34,1663,143.53,260,6/7/2014
Pennsylvania,367.25,4643,267.5,4016,193.06,436,6/7/2014
Rhode Island,328.25,615,256.3,432,203.71,38,6/7/2014
South Carolina,343.76,1402,201.61,1126,189.58,142,6/7/2014
South Dakota,382.21,187,351.01,208,123.94,22,6/7/2014
Tennessee,354.31,1890,224.59,1537,186.55,177,6/7/2014
Texas,338.19,7106,233.24,7057,142.79,1018,6/7/2014
Utah,289,811,239.19,856,204.58,56,6/7/2014
Vermont,376.94,316,320.46,284,190.36,26,6/7/2014
Virginia,369.07,2942,290.24,2474,222.77,243,6/7/2014
Washington,232.32,2755,190.09,2848,141.7,130,6/7/2014
West Virginia,355.07,463,215.37,444,155.8,49,6/7/2014
Wisconsin,354.19,1906,271.28,1725,237.56,145,6/7/2014
Wyoming,351.25,109,359.79,158,161.3,12,6/7/2014
Alabama,337.32,1889,206.09,1807,NA,218,6/7/2015
Alaska,293.43,406,265.39,575,NA,41,6/7/2015
Arizona,296.71,2991,208.37,2872,NA,344,6/7/2015
Arkansas,333.86,991,211.88,992,NA,171,6/7/2015
California,241.91,18483,187.88,22023,NA,1232,6/7/2015
Colorado,241.11,3597,194.84,3428,NA,215,6/7/2015
Connecticut,332.33,2116,264.79,2512,NA,146,6/7/2015
Delaware,353.64,566,241.95,506,NA,47,6/7/2015
District of Columbia,345.32,763,282.09,727,NA,54,6/7/2015
Florida,297.04,10812,215.89,9701,NA,782,6/7/2015
Georgia,317.03,5223,216.58,4203,NA,346,6/7/2015
Hawaii,302.22,539,259.02,620,NA,32,6/7/2015
Idaho,273.38,510,241.6,797,NA,42,6/7/2015
Illinois,348.91,6383,279.49,6525,NA,509,6/7/2015
Indiana,328.37,2754,218,2645,NA,362,6/7/2015
Iowa,361.66,1102,287.66,1225,NA,136,6/7/2015
Kansas,345.95,1296,260.93,1201,NA,154,6/7/2015
Kentucky,341.23,1706,184.61,1771,NA,201,6/7/2015
Louisiana,357.83,1860,240.69,1672,NA,369,6/7/2015
Maine,304.57,701,232.77,771,NA,73,6/7/2015
Montana,264.57,787,238.3,446,NA,36,6/7/2015
Nebraska,330.29,789,239.66,858,NA,78,6/7/2015
Nevada,266.04,1432,223.97,1652,NA,89,6/7/2015
New Hampshire,349.72,664,285.17,757,NA,58,6/7/2015
New Jersey,342.49,3449,283.33,4940,NA,287,6/7/2015
New Mexico,282.77,904,217.46,775,NA,73,6/7/2015
New York,338.27,8892,261.05,10162,NA,683,6/7/2015
North Carolina,341.85,4753,244.1,3624,NA,357,6/7/2015
North Dakota,383.8,250,338.38,401,NA,27,6/7/2015
Ohio,331.03,4892,219.2,5085,NA,619,6/7/2015
Oklahoma,348.62,1298,241.65,1282,NA,215,6/7/2015
Oregon,202.1,2532,178.16,2404,NA,113,6/7/2015
Maryland,359.29,3269,265.44,2942,NA,214,6/7/2015
Massachusetts,339.57,4494,280.33,4457,NA,324,6/7/2015
Michigan,282.36,4491,263.09,4318,NA,329,6/7/2015
Minnesota,340.02,2699,269.68,2990,NA,149,6/7/2015
Mississippi,331.03,797,157.17,746,NA,176,6/7/2015
Missouri,347.48,2552,248.07,2497,NA,334,6/7/2015
Pennsylvania,358.23,6203,268.28,5907,NA,562,6/7/2015
Rhode Island,313.51,806,248.89,682,NA,47,6/7/2015
South Carolina,333.87,2000,208.65,1690,NA,188,6/7/2015
South Dakota,358.46,254,340.24,303,NA,29,6/7/2015
Tennessee,345.21,2594,227.05,2300,NA,260,6/7/2015
Texas,326.08,9581,232.45,10260,NA,1287,6/7/2015
Utah,285.11,1080,232.95,1230,NA,71,6/7/2015
Vermont,364.83,408,304.7,434,NA,32,6/7/2015
Virginia,361.68,4017,290.06,3633,NA,320,6/7/2015
Washington,231.6,3779,187.26,4142,NA,183,6/7/2015
West Virginia,357.52,638,224.12,649,NA,64,6/7/2015
Wisconsin,344.93,2553,272.03,2686,NA,183,6/7/2015
Wyoming,313.72,148,317.38,226,NA,13,6/7/2015
Alabama,340.72,1343,203.54,1201,147.74,156,7/7/2014
Alaska,287.97,319,260.96,388,407.31,32,7/7/2014
Arizona,300.54,2332,209.36,2063,186.79,276,7/7/2014
Arkansas,349.29,727,183.17,697,126.2,134,7/7/2014
California,245.39,14628,191.87,16190,189.29,955,7/7/2014
Colorado,238.2,2744,196.62,2339,229.01,161,7/7/2014
Connecticut,343.13,1553,271.63,1681,254.19,104,7/7/2014
Delaware,369.14,429,228.77,360,204.86,39,7/7/2014
District of Columbia,345.89,552,290.76,466,209.83,47,7/7/2014
Florida,302.32,8239,217.87,6857,152.01,617,7/7/2014
Georgia,326.82,3866,215.52,2912,146.79,274,7/7/2014
Hawaii,312.1,393,273.96,449,165.55,28,7/7/2014
Idaho,277.13,382,250.45,569,136.89,28,7/7/2014
Illinois,355.74,4897,283.39,4575,190.77,403,7/7/2014
Indiana,332.97,2077,210.73,1890,155.83,289,7/7/2014
Iowa,367.36,844,289.85,846,249.3,112,7/7/2014
Kansas,350.36,1010,261.41,825,122.25,128,7/7/2014
Kentucky,338.22,1279,172.99,1269,123.79,162,7/7/2014
Louisiana,366.74,1328,245.57,1135,143.14,281,7/7/2014
Maine,317.43,537,246.06,554,272.95,59,7/7/2014
Montana,267.33,669,251.01,320,609.45,28,7/7/2014
Nebraska,343.26,616,250.61,612,133.37,73,7/7/2014
Nevada,268.12,1079,229.18,1195,233.04,74,7/7/2014
New Hampshire,358.36,517,289.63,561,643,44,7/7/2014
New Jersey,349.87,2678,288.34,3516,224.99,226,7/7/2014
New Mexico,290.55,678,202.1,553,96.93,56,7/7/2014
New York,347.28,6889,265.8,7357,209.46,555,7/7/2014
North Carolina,350.4,3513,245.14,2495,149.37,272,7/7/2014
North Dakota,399.42,181,364.82,264,335.8,20,7/7/2014
Ohio,335.09,3706,217.38,3650,162.55,483,7/7/2014
Oklahoma,366.28,924,231.62,895,118.22,163,7/7/2014
Oregon,208.87,1913,184.91,1656,175.53,80,7/7/2014
Maryland,371.3,2456,251.04,2020,187.53,178,7/7/2014
Massachusetts,350.51,3528,290.42,3118,221.92,256,7/7/2014
Michigan,292.66,3585,276.13,3190,270.65,263,7/7/2014
Minnesota,358.54,2083,277.51,2041,184.78,112,7/7/2014
Mississippi,335.57,527,145.89,457,147.6,126,7/7/2014
Missouri,355.22,1939,244.29,1745,146.35,267,7/7/2014
Pennsylvania,366.68,4775,266.81,4147,191.84,444,7/7/2014
Rhode Island,323.95,628,256.63,449,199.96,39,7/7/2014
South Carolina,343.37,1438,202.08,1172,187.93,146,7/7/2014
South Dakota,377.86,190,351.27,216,123.94,22,7/7/2014
Tennessee,353.05,1948,225,1593,186,186,7/7/2014
Texas,338.01,7280,232.26,7279,144.61,1042,7/7/2014
Utah,289.02,834,238.91,891,204.58,56,7/7/2014
Vermont,375.49,326,318.75,296,190.36,27,7/7/2014
Virginia,368.5,3019,291.24,2553,222.89,249,7/7/2014
