Member_number,itemDescription
1527,soda
1527,bottled water
1527,frozen meals
1528,sausage
1528,chicken
1528,frozen vegetables
1528,whole milk
1528,curd
1528,chicken
1528,tropical fruit
1528,cream cheese 
1529,frankfurter
1529,other vegetables
1529,soda
1529,margarine
1529,preservation products
1529,bottled water
1529,soups
1530,pastry
1530,long life bakery product
1530,sliced cheese
1530,condensed milk
1530,fruit/vegetable juice
1531,sausage
1531,meat
1531,pickled vegetables
1531,root vegetables
1532,whole milk
1532,liquor (appetizer)
1532,citrus fruit
1532,rolls/buns
1532,napkins
1532,yogurt
1533,citrus fruit
1533,cream cheese 
1533,other vegetables
1533,shopping bags
1533,specialty fat
1533,red/blush wine
1534,pastry
1534,shopping bags
1534,dessert
1534,rolls/buns
1534,sliced cheese
1534,tropical fruit
1534,other vegetables
1534,pork
1534,liquor
1534,other vegetables
1534,bottled water
1534,hygiene articles
1534,dental care
1534,napkins
1534,pastry
1534,bottled water
1534,pastry
1534,margarine
1535,pip fruit
1535,shopping bags
1535,pork
1535,napkins
1535,flour
1535,soda
1535,other vegetables
1535,whole milk
1536,frankfurter
1536,whole milk
1536,canned beer
1536,root vegetables
1536,pastry
1536,rolls/buns
1536,yogurt
1536,tropical fruit
1537,bottled water
1537,other vegetables
1537,yogurt
1537,yogurt
1537,soda
1538,sausage
1538,tropical fruit
1538,sausage
1538,hamburger meat
1538,root vegetables
1538,dessert
1539,pip fruit
1539,frankfurter
1539,whipped/sour cream
1539,margarine
1539,rolls/buns
1540,ham
1540,whole milk
1540,skin care
1540,beef
1540,frankfurter
1540,yogurt
1540,berries
1540,beverages
1540,root vegetables
1540,yogurt
1540,fruit/vegetable juice
1540,pastry
1542,pork
1542,tropical fruit
1542,curd
1542,sausage
1542,yogurt
1542,hamburger meat
1542,whole milk
1542,whole milk
1542,yogurt
1542,hamburger meat
1542,popcorn
1542,popcorn
1542,newspapers
1544,dessert
1544,other vegetables
1544,tropical fruit
1544,root vegetables
1544,salty snack
1544,semi-finished bread
1544,cat food
1544,brown bread
1544,shopping bags
1545,whole milk
1545,citrus fruit
1545,frozen vegetables
1545,white wine
1545,brown bread
1545,semi-finished bread
1545,hair spray
1546,butter
1546,root vegetables
1546,coffee
1546,white bread
1546,bottled water
1546,whipped/sour cream
1546,sugar
1546,canned fish
1546,red/blush wine
1547,pickled vegetables
1547,onions
1547,whole milk
1547,soda
1547,whole milk
1547,long life bakery product
1547,cling film/bags
1548,condensed milk
1548,long life bakery product
1548,other vegetables
1548,pastry
1548,bottled beer
1548,bottled beer
1549,rolls/buns
1549,domestic eggs
1549,liver loaf
1549,beef
1549,coffee
1549,bottled water
1549,coffee
1549,bottled water
1549,pastry
1550,potato products
1550,pork
1550,domestic eggs
1550,oil
1550,cereals
1550,brown bread
1550,specialty chocolate
1551,onions
1551,soda
1551,frankfurter
1551,tropical fruit
1551,dessert
1551,rum
1551,frozen fish
1551,syrup
1551,yogurt
1551,curd
1551,mayonnaise
1551,rolls/buns
1551,instant coffee
1552,rolls/buns
1552,baby cosmetics
1553,other vegetables
1553,frozen fish
1553,pip fruit
1553,yogurt
1553,citrus fruit
1553,sliced cheese
1553,mustard
1553,UHT-milk
1553,other vegetables
1553,soda
1553,coffee
1553,baking powder
1553,soda
1553,domestic eggs
1554,tropical fruit
1554,sausage
1554,pip fruit
1554,beef
1554,meat
1554,tropical fruit
1554,detergent
1554,soda
1554,curd
1554,canned fish
1554,hygiene articles
1554,butter
1554,newspapers
1554,brown bread
1554,vinegar
1555,rolls/buns
1555,liquor (appetizer)
1556,herbs
1556,soft cheese
1557,beef
1557,domestic eggs
1557,hamburger meat
1557,chocolate
1558,finished products
1558,other vegetables
1559,beef
1559,citrus fruit
1559,sausage
1559,napkins
1559,semi-finished bread
1559,other vegetables
1559,brown bread
1560,white bread
1560,salty snack
1561,dish cleaner
1561,whole milk
1561,dishes
1561,onions
1561,yogurt
1561,whole milk
1561,flower (seeds)
1561,domestic eggs
1561,onions
1561,cream cheese 
1561,fruit/vegetable juice
1561,flour
1561,sugar
1561,white bread
1561,canned beer
1561,chewing gum
1561,dog food
1561,long life bakery product
1561,coffee
1561,white bread
1562,frankfurter
1562,frozen vegetables
1562,snack products
1562,pork
1562,beef
1562,soda
1563,citrus fruit
1563,margarine
1563,long life bakery product
1563,sliced cheese
1563,waffles
1564,sausage
1564,tropical fruit
1564,tropical fruit
1564,root vegetables
1564,pasta
1564,yogurt
1564,prosecco
1564,pip fruit
1565,pork
1565,meat
1565,canned beer
1565,condensed milk
1565,whole milk
1565,berries
1565,oil
1565,chewing gum
1565,other vegetables
1565,domestic eggs
1565,shopping bags
1565,tea
1565,tidbits
1565,frozen vegetables
1565,chocolate
1565,rolls/buns
1565,coffee
1565,whole milk
1565,cat food
1566,grapes
1566,yogurt
1566,tropical fruit
1566,whole milk
1566,citrus fruit
1566,citrus fruit
1566,tropical fruit
1566,berries
1566,other vegetables
1566,ketchup
1566,whole milk
1566,bottled beer
1566,soda
1566,salt
1566,dessert
1566,waffles
1566,frozen meals
1566,curd
1566,bottled beer
1566,newspapers
1566,shopping bags
1567,whipped/sour cream
1567,ham
1567,chewing gum
1567,frankfurter
1567,frankfurter
1567,rolls/buns
1567,citrus fruit
1567,onions
1567,candy
1567,bottled water
1567,pot plants
1567,shopping bags
1567,bottled beer
1567,yogurt
1567,whole milk
1567,chocolate
1567,specialty cheese
1568,nuts/prunes
1568,candy
1568,coffee
1568,domestic eggs
1569,rolls/buns
1569,other vegetables
1569,rolls/buns
1569,berries
1569,bottled beer
1569,pastry
1569,white bread
1569,fruit/vegetable juice
1570,other vegetables
1570,frankfurter
1570,whipped/sour cream
1570,yogurt
1570,waffles
1571,sausage
1571,bottled beer
1571,misc. beverages
1571,whole milk
1571,frozen vegetables
1571,bottled beer
1571,dishes
1571,onions
1572,frankfurter
1572,soda
1572,specialty chocolate
1572,finished products
1572,chicken
1572,bottled beer
1572,frozen dessert
1572,rolls/buns
1572,other vegetables
1572,candy
1572,whipped/sour cream
1572,frozen vegetables
1572,margarine
1572,rolls/buns
1572,berries
1572,candy
1572,rice
1572,specialty bar
1572,white bread
1572,long life bakery product
1573,misc. beverages
1573,pastry
1573,tropical fruit
1573,oil
1573,other vegetables
1573,butter
1574,other vegetables
1574,frankfurter
1574,specialty chocolate
1574,whole milk
1574,hamburger meat
1574,butter
1574,soda
1574,frozen fish
1574,whole milk
1574,white bread
1574,whipped/sour cream
1574,brown bread
1574,pork
1574,other vegetables
1574,cat food
1574,cat food
1574,onions
1574,bottled beer
1574,flour
1574,newspapers
1574,margarine
1574,roll products 
1574,pastry
1575,yogurt
1575,rolls/buns
1575,dessert
1575,white bread
1575,misc. beverages
1575,whole milk
1575,newspapers
1575,whole milk
1575,seasonal products
1575,shopping bags
1577,beef
1577,cream cheese 
1578,packaged fruit/vegetables
1578,frozen vegetables
1578,whole milk
1578,napkins
1578,bottled beer
1578,newspapers
1578,beverages
1578,citrus fruit
1579,specialty bar
1579,canned beer
1580,other vegetables
1580,citrus fruit
1580,other vegetables
1580,tropical fruit
1580,misc. beverages
1580,salty snack
1580,citrus fruit
1580,whole milk
1580,whole milk
1580,pip fruit
1580,mustard
1580,domestic eggs
1580,canned beer
1580,chewing gum
1580,domestic eggs
1580,sliced cheese
1581,grapes
1581,meat
1581,newspapers
1581,onions
1581,butter
1581,napkins
1582,curd
1582,sausage
1582,shopping bags
1582,margarine
1582,shopping bags
1582,sparkling wine
1583,soda
1583,sliced cheese
1583,frankfurter
1583,bottled water
1583,sausage
1583,sliced cheese
1583,citrus fruit
1583,pip fruit
1583,sugar
1583,liquor
1583,pastry
1583,pastry
1583,newspapers
1583,cat food
1583,dessert
1583,brown bread
1583,fruit/vegetable juice
1583,bottled water
1583,newspapers
1583,hygiene articles
1583,honey
1584,yogurt
1584,frankfurter
1584,rolls/buns
1584,pet care
1584,long life bakery product
1584,soda
1584,UHT-milk
1584,onions
1584,cream cheese 
1584,curd
1584,whole milk
1584,hygiene articles
1584,dessert
1584,pastry
1584,long life bakery product
1584,sugar
1585,other vegetables
1585,tropical fruit
1585,soda
1585,yogurt
1585,rolls/buns
1585,whole milk
1585,fruit/vegetable juice
1585,margarine
1586,pip fruit
1586,citrus fruit
1586,rolls/buns
1586,soda
1586,butter
1586,hard cheese
1587,other vegetables
1587,whole milk
1587,yogurt
1587,curd
1587,rolls/buns
1587,hygiene articles
1587,yogurt
1587,hard cheese
1587,shopping bags
1587,margarine
1587,frozen vegetables
1587,skin care
1587,bottled beer
1588,sausage
1588,pork
1588,zwieback
1588,beverages
1588,jam
1588,root vegetables
1588,dishes
1588,processed cheese
1589,dessert
1589,hamburger meat
1589,butter
1589,root vegetables
1590,coffee
1590,citrus fruit
1590,fruit/vegetable juice
1590,whole milk
1590,newspapers
1590,pip fruit
1591,soap
1591,packaged fruit/vegetables
1591,root vegetables
1591,hard cheese
1591,whole milk
1591,white bread
1591,frozen meals
1591,photo/film
1591,oil
1591,bottled beer
1592,other vegetables
1592,rolls/buns
1593,sausage
1593,meat
1593,canned beer
1593,rolls/buns
1593,other vegetables
1593,onions
1593,rolls/buns
1594,brown bread
1594,sugar
1594,specialty bar
1594,yogurt
1594,bottled water
1594,yogurt
1595,liver loaf
1595,finished products
1595,pip fruit
1595,hamburger meat
1595,sausage
1595,whole milk
1595,bottled beer
1595,beef
1595,other vegetables
1595,bottled beer
1595,whipped/sour cream
1595,whole milk
1595,soda
1595,other vegetables
1595,white bread
1595,whole milk
1595,rolls/buns
1595,newspapers
1595,yogurt
1595,nut snack
1595,rolls/buns
1595,whole milk
1596,bottled water
1596,dessert
1596,whole milk
1596,pot plants
1596,beverages
1596,UHT-milk
1596,other vegetables
1596,other vegetables
1596,margarine
1596,pot plants
1597,UHT-milk
1597,UHT-milk
1597,other vegetables
1597,frozen meals
1597,whole milk
1597,whole milk
1597,oil
1597,cake bar
1598,root vegetables
1598,ice cream
1598,white bread
1598,soda
1598,cream cheese 
1598,sliced cheese
1598,rolls/buns
1599,sausage
1599,tropical fruit
1599,semi-finished bread
1599,tropical fruit
1599,sausage
1599,soda
1599,pot plants
1599,whole milk
1599,berries
1599,rolls/buns
1599,cream cheese 
1599,other vegetables
1599,shopping bags
1599,candy
1601,whole milk
1601,beef
1601,butter
1601,root vegetables
1601,soda
1601,frozen vegetables
1602,citrus fruit
1602,sausage
1602,pip fruit
1602,yogurt
1602,ice cream
1602,root vegetables
1602,other vegetables
1602,beef
1602,whole milk
1602,fruit/vegetable juice
1602,pip fruit
1602,beef
1602,butter
1602,whipped/sour cream
1603,frozen meals
1603,canned beer
1603,canned beer
1603,whole milk
1603,chicken
1603,frankfurter
1603,whipped/sour cream
1603,white bread
1603,whole milk
1603,domestic eggs
1603,whole milk
1603,flour
1603,flour
1603,bottled beer
1603,sugar
1604,sausage
1604,pip fruit
1604,tropical fruit
1604,rolls/buns
1604,margarine
1604,rum
1604,fruit/vegetable juice
1604,specialty bar
1605,yogurt
1605,sausage
1605,other vegetables
1605,white wine
1605,citrus fruit
1605,seasonal products
1605,canned beer
1605,rolls/buns
1605,whole milk
1605,soda
1605,fruit/vegetable juice
1606,frankfurter
1606,ham
1606,dog food
1606,other vegetables
1606,bottled beer
1606,canned beer
1606,butter
1606,red/blush wine
1607,other vegetables
1607,margarine
1607,onions
1607,shopping bags
1607,pickled vegetables
1607,rolls/buns
1608,root vegetables
1608,frankfurter
1608,tropical fruit
1608,whole milk
1608,red/blush wine
1608,frozen vegetables
1608,napkins
1608,fruit/vegetable juice
1608,citrus fruit
1608,hamburger meat
1608,whole milk
1608,shopping bags
1608,cream cheese 
1608,snack products
1608,pastry
1608,ice cream
1608,whole milk
1608,canned beer
1609,other vegetables
1609,rolls/buns
1609,soda
1609,other vegetables
1609,pickled vegetables
1609,whole milk
1609,napkins
1609,chocolate
1609,soda
1609,sugar
1609,butter
1609,fruit/vegetable juice
1609,soft cheese
1609,white wine
1609,napkins
1610,yogurt
1610,bottled beer
1610,root vegetables
1610,pastry
1610,cream cheese 
1610,oil
1611,bottled beer
1611,liver loaf
1611,frozen meals
1611,sausage
1611,other vegetables
1611,yogurt
1611,domestic eggs
1611,yogurt
1611,flower (seeds)
1611,coffee
1612,canned beer
1612,bottled water
1612,butter
1612,sausage
1612,yogurt
1612,citrus fruit
1612,rolls/buns
1612,frozen vegetables
1612,soda
1612,whole milk
1612,ice cream
1612,soups
1612,frozen meals
1612,softener
1612,oil
1612,canned vegetables
1613,yogurt
1613,white wine
1613,soda
1613,turkey
1613,tropical fruit
1613,other vegetables
1613,cookware
1613,canned vegetables
1613,cream cheese 
1613,whipped/sour cream
1613,pastry
1613,salt
1613,whole milk
1613,flour
1613,butter
1614,bottled beer
1614,specialty cheese
1614,whole milk
1614,napkins
1615,sausage
1615,yogurt
1615,herbs
1615,herbs
1615,beverages
1615,pastry
1615,whipped/sour cream
1615,white bread
1615,white bread
1615,canned fish
1615,bottled water
1615,curd cheese
1616,ham
1616,whole milk
1616,frankfurter
1616,whole milk
1616,margarine
1616,coffee
1616,pip fruit
1616,prosecco
1616,pastry
1616,whole milk
1616,whole milk
1616,frozen meals
1616,berries
1617,rolls/buns
1617,oil
1617,dessert
1617,soda
1617,sauces
1617,sugar
1617,waffles
1617,frozen meals
1617,dish cleaner
1618,chicken
1618,hamburger meat
1618,bottled beer
1618,canned fruit
1618,root vegetables
1618,whole milk
1618,whole milk
1618,candy
1618,sugar
1618,whole milk
1618,whipped/sour cream
1618,napkins
1618,cream cheese 
1618,napkins
1618,mustard
1618,popcorn
1619,beef
1619,whole milk
1619,root vegetables
1619,dessert
1619,jam
1619,root vegetables
1619,waffles
1619,napkins
1619,flower (seeds)
1619,long life bakery product
1619,whipped/sour cream
1620,tropical fruit
1620,chicken
1620,frozen meals
1620,whole milk
1620,bottled water
1620,frozen dessert
1620,yogurt
1620,cream cheese 
1620,yogurt
1620,sparkling wine
1620,napkins
1621,ham
1621,other vegetables
1621,beef
1621,bottled beer
1621,sugar
1621,canned fruit
1621,soda
1621,waffles
1621,yogurt
1621,butter milk
1621,detergent
1621,shopping bags
1621,butter milk
1621,photo/film
1622,meat
1622,canned beer
1622,whole milk
1622,rolls/buns
1622,tropical fruit
1622,salty snack
1622,misc. beverages
1622,margarine
1622,soda
1622,shopping bags
1623,frankfurter
1623,frozen meals
1623,citrus fruit
1623,canned fish
1623,soda
1623,ham
1623,chocolate
1623,specialty chocolate
1623,pastry
1623,rolls/buns
1623,soda
1623,roll products 
1624,red/blush wine
1624,rolls/buns
1624,whole milk
1624,other vegetables
1624,berries
1624,napkins
1624,fruit/vegetable juice
1624,beverages
1624,mustard
1625,other vegetables
1625,packaged fruit/vegetables
1625,meat
1625,zwieback
1625,sausage
1625,pot plants
1625,rolls/buns
1625,packaged fruit/vegetables
1625,root vegetables
1625,butter milk
1625,rice
1625,butter
1625,bottled water
1625,napkins
1625,frozen meals
1625,soft cheese
1625,jam
1625,yogurt
1626,pastry
1626,chewing gum
1627,rolls/buns
1627,root vegetables
1627,pip fruit
1627,rolls/buns
1627,pastry
1627,other vegetables
1627,canned beer
1627,hygiene articles
1627,fruit/vegetable juice
1628,chicken
1628,soda
1628,hamburger meat
1628,pastry
1628,fruit/vegetable juice
1628,whole milk
1628,yogurt
1628,pastry
1628,white bread
1628,whole milk
1628,cream cheese 
1628,margarine
1628,bottled water
1628,soda
1628,softener
1629,citrus fruit
1629,frozen dessert
1629,yogurt
1629,ham
1629,tropical fruit
1629,whole milk
1630,semi-finished bread
1630,whole milk
1630,tropical fruit
1630,rolls/buns
1631,domestic eggs
1631,tropical fruit
1631,mayonnaise
1631,herbs
1631,coffee
1632,house keeping products
1632,onions
1632,chicken
1632,brown bread
1632,misc. beverages
1632,root vegetables
1632,whole milk
1632,rolls/buns
1632,napkins
1632,shopping bags
1632,white bread
1632,newspapers
1632,soda
1632,soda
1633,condensed milk
1633,pork
1633,whole milk
1633,pastry
1633,ready soups
1633,shopping bags
1634,brown bread
1634,bottled water
1634,rolls/buns
1634,whole milk
1634,other vegetables
1634,frankfurter
1634,chicken
1634,yogurt
1634,curd
1634,bottled water
1634,yogurt
1634,newspapers
1634,butter milk
1634,soda
1634,fruit/vegetable juice
1634,bottled water
1634,whole milk
1634,pet care
1634,herbs
1635,butter
1635,chocolate
1635,whole milk
1635,citrus fruit
1635,white bread
1635,shopping bags
1636,rolls/buns
1636,other vegetables
1636,berries
1636,root vegetables
1636,white bread
1636,other vegetables
1636,bottled beer
1636,whole milk
1636,other vegetables
1636,napkins
1636,hygiene articles
1636,liquor (appetizer)
1638,whole milk
1638,prosecco
1638,hard cheese
1638,candles
1638,chewing gum
1638,bottled beer
1638,shopping bags
1638,jam
1639,frankfurter
1639,ham
1639,long life bakery product
1639,tropical fruit
1639,female sanitary products
1639,chocolate
1639,mustard
1640,root vegetables
1640,butter milk
1640,newspapers
1640,oil
1641,pip fruit
1641,UHT-milk
1641,canned beer
1641,other vegetables
1641,pork
1641,whipped/sour cream
1641,white bread
1641,candy
1641,cream cheese 
1641,bottled beer
1641,pastry
1641,hygiene articles
1642,bottled water
1642,yogurt
1643,yogurt
1643,whole milk
1643,rolls/buns
1643,soda
1644,citrus fruit
1644,salty snack
1644,specialty cheese
1644,brown bread
1644,napkins
1645,whole milk
1645,hygiene articles
1645,waffles
1645,pastry
1645,waffles
1646,chewing gum
1646,butter milk
1646,soda
1646,frankfurter
1646,butter
1646,beverages
1646,ham
1646,sliced cheese
1646,butter
1646,whole milk
1646,newspapers
1646,sparkling wine
1646,white bread
1646,shopping bags
1646,rolls/buns
1646,frozen vegetables
1646,hygiene articles
1647,yogurt
1647,other vegetables
1647,specialty cheese
1647,whipped/sour cream
1647,specialty chocolate
1647,salty snack
1647,flour
1648,sausage
1648,pork
1648,newspapers
1648,grapes
1648,rolls/buns
1648,rolls/buns
1648,pastry
1648,red/blush wine
1648,whole milk
1648,rolls/buns
1649,bottled water
1649,tropical fruit
1649,curd
1649,pork
1649,pip fruit
1649,pork
1649,rolls/buns
1649,berries
1649,white wine
1649,frozen meals
1649,rolls/buns
1649,salty snack
1649,condensed milk
1649,yogurt
1649,yogurt
1649,bottled beer
1649,other vegetables
1649,newspapers
1650,coffee
1650,cream cheese 
1650,detergent
1650,misc. beverages
1650,rolls/buns
1650,pasta
1651,beef
1651,tropical fruit
1651,tropical fruit
1651,hamburger meat
1651,cat food
1651,frozen vegetables
1651,chicken
1651,other vegetables
1651,whole milk
1651,bottled water
1651,canned vegetables
1651,dishes
1651,soda
1651,hygiene articles
1651,domestic eggs
1651,tea
1652,other vegetables
1652,root vegetables
1652,bottled beer
1652,newspapers
1652,beef
1652,citrus fruit
1652,pastry
1652,canned beer
1652,yogurt
1652,curd
1652,semi-finished bread
1652,fruit/vegetable juice
1653,pip fruit
1653,chicken
1653,newspapers
1653,citrus fruit
1653,whole milk
1653,hamburger meat
1653,frozen vegetables
1653,herbs
1653,cream cheese 
1653,rolls/buns
1653,long life bakery product
1653,pastry
1653,butter milk
1653,margarine
1653,long life bakery product
1653,frozen meals
1653,flour
1653,canned fish
1654,cream cheese 
1654,whisky
1654,frozen dessert
1654,dish cleaner
1654,rolls/buns
1654,beef
1654,whole milk
1654,pip fruit
1654,whole milk
1654,whole milk
1654,rolls/buns
1654,shopping bags
1654,citrus fruit
1654,frozen potato products
1654,frozen vegetables
1654,root vegetables
1654,other vegetables
1654,other vegetables
1654,butter
1654,frozen dessert
1654,cream cheese 
1654,rum
1654,female sanitary products
1655,sausage
1655,pip fruit
1655,brown bread
1655,bottled water
1655,whole milk
1655,white wine
1655,frozen fish
1655,rolls/buns
1655,chocolate
1656,specialty cheese
1656,ham
1656,hard cheese
1656,tropical fruit
1656,bottled beer
1656,dessert
1656,sliced cheese
1656,rolls/buns
1656,whole milk
1656,white bread
1656,liquor (appetizer)
1656,bottled water
1657,other vegetables
1657,frozen potato products
1657,frozen meals
1657,whole milk
1657,rolls/buns
1657,frozen meals
1658,sausage
1658,beef
1658,newspapers
1658,pork
1658,citrus fruit
1658,dish cleaner
1658,butter
1658,soda
1658,coffee
1658,flour
1658,margarine
1658,female sanitary products
1659,coffee
1659,frankfurter
1659,yogurt
1659,chewing gum
1659,brown bread
1659,dishes
1659,specialty chocolate
1659,whole milk
1659,bottled water
1659,tropical fruit
1659,other vegetables
1659,frozen dessert
1659,yogurt
1659,frozen vegetables
1659,specialty bar
1660,beef
1660,packaged fruit/vegetables
1660,misc. beverages
1660,specialty chocolate
1660,other vegetables
1660,sliced cheese
1660,domestic eggs
1661,packaged fruit/vegetables
1661,pip fruit
1661,root vegetables
1661,dessert
1661,pip fruit
1661,root vegetables
1661,tropical fruit
1661,sliced cheese
1661,white wine
1661,pip fruit
1661,mustard
1661,tidbits
1661,salty snack
1661,frozen fruits
1661,whipped/sour cream
1661,shopping bags
1661,white bread
1662,beef
1662,rolls/buns
1662,bottled water
1662,sugar
1662,fruit/vegetable juice
1663,rolls/buns
1663,pork
1663,tropical fruit
1663,onions
1663,yogurt
1663,butter
1663,yogurt
1663,tropical fruit
1663,whole milk
1663,soft cheese
1663,herbs
1663,rolls/buns
1663,rolls/buns
1664,whole milk
1664,frankfurter
1664,rolls/buns
1664,pork
1664,whole milk
1664,curd
1664,misc. beverages
1664,sugar
1664,canned vegetables
1664,soda
1665,whole milk
1665,other vegetables
1665,curd cheese
1665,UHT-milk
1665,soda
1665,canned beer
1666,sausage
1666,pip fruit
1666,long life bakery product
1666,flower (seeds)
1667,beef
1667,onions
1668,citrus fruit
1668,herbs
1668,chicken
1668,rolls/buns
1668,turkey
1668,female sanitary products
1668,curd
1668,pip fruit
1668,pastry
1668,bottled water
1668,frozen meals
1669,soda
1669,sausage
1669,root vegetables
1669,pork
1669,whole milk
1669,vinegar
1669,other vegetables
1669,domestic eggs
1669,shopping bags
1670,ice cream
1670,fish
1670,chicken
1670,citrus fruit
1670,pickled vegetables
1670,pork
1670,soda
1670,hard cheese
1670,newspapers
1672,whole milk
1672,pip fruit
1672,sausage
1672,yogurt
1672,brandy
1672,white bread
1673,citrus fruit
1673,grapes
1674,sausage
1674,zwieback
1674,detergent
1674,chicken
1674,beverages
1674,shopping bags
1674,tropical fruit
1674,ice cream
1674,kitchen towels
1674,bottled water
1674,soda
1674,margarine
1676,citrus fruit
1676,other vegetables
1676,root vegetables
1676,other vegetables
1676,whole milk
1676,fruit/vegetable juice
1676,misc. beverages
1676,soda
1676,tropical fruit
1676,dishes
1677,tropical fruit
1677,liver loaf
1677,hamburger meat
1677,citrus fruit
1677,yogurt
1677,pip fruit
1677,specialty chocolate
1677,rolls/buns
1677,onions
1677,seasonal products
1677,prosecco
1678,citrus fruit
1678,pork
1678,bottled water
1678,ham
1678,canned beer
1678,frozen dessert
1678,whole milk
1678,onions
1679,other vegetables
1679,whole milk
1679,rolls/buns
1679,frozen vegetables
1679,rolls/buns
1679,brown bread
1679,rolls/buns
1679,rolls/buns
1679,salty snack
1679,whipped/sour cream
1679,cake bar
1680,fruit/vegetable juice
1680,beverages
1680,pet care
1680,specialty bar
1680,dog food
1680,soda
1681,pip fruit
1681,popcorn
1681,butter
1681,rolls/buns
1681,bottled water
1681,soda
1682,canned beer
1682,pip fruit
1682,pip fruit
1682,citrus fruit
1682,yogurt
1682,liquor
1682,other vegetables
1682,other vegetables
1682,whipped/sour cream
1682,seasonal products
1682,shopping bags
1682,domestic eggs
1682,dessert
1682,berries
1682,fruit/vegetable juice
1682,newspapers
1682,newspapers
1682,soda
1682,cake bar
1682,frozen meals
1683,root vegetables
1683,whole milk
1683,turkey
1683,pip fruit
1683,bottled water
1684,whole milk
1684,canned beer
1684,white wine
1684,whole milk
1684,coffee
1684,white bread
1684,curd
1684,oil
1685,beverages
1685,other vegetables
1685,soda
1685,pickled vegetables
1685,whole milk
1685,bottled water
1685,whole milk
1685,waffles
1686,whole milk
1686,pork
1686,brown bread
1686,whole milk
1686,root vegetables
1686,canned beer
1686,candles
1687,sausage
1687,coffee
1687,specialty bar
1687,chicken
1687,domestic eggs
1687,curd
1687,pastry
1687,other vegetables
1687,house keeping products
1687,UHT-milk
1687,misc. beverages
1688,finished products
1688,root vegetables
1689,beef
1689,rolls/buns
1689,pastry
1689,cake bar
1689,whole milk
1690,sausage
1690,sugar
1690,sausage
1690,frankfurter
1690,citrus fruit
1690,newspapers
1690,frozen vegetables
1690,curd
1690,pastry
1690,soda
1690,yogurt
1690,whipped/sour cream
1690,brown bread
1690,bottled water
1690,curd cheese
1690,rolls/buns
1692,whole milk
1692,citrus fruit
1692,chewing gum
1692,dessert
1692,other vegetables
1692,canned beer
1692,soda
1692,chicken
1692,cake bar
1692,fruit/vegetable juice
1692,sugar
1692,ready soups
1692,other vegetables
1692,napkins
1692,oil
1693,spread cheese
1693,onions
1693,UHT-milk
1693,cream cheese 
1693,specialty chocolate
1693,pastry
1693,other vegetables
1693,canned beer
1693,cream cheese 
1693,rolls/buns
1693,waffles
1693,sugar
1694,tropical fruit
1694,rolls/buns
1694,dessert
1694,butter
1694,rolls/buns
1694,long life bakery product
1695,meat
1695,rolls/buns
1696,root vegetables
1696,tropical fruit
1696,newspapers
1696,domestic eggs
1696,whole milk
1696,rolls/buns
1696,mustard
1696,whole milk
1696,root vegetables
1696,coffee
1696,cream cheese 
1696,chewing gum
1696,yogurt
1697,misc. beverages
1697,tropical fruit
1697,root vegetables
1697,dish cleaner
1697,rolls/buns
1697,sausage
1697,pip fruit
1697,frozen vegetables
1697,other vegetables
1697,kitchen towels
1697,soda
1697,beverages
1697,butter
1697,other vegetables
1697,condensed milk
1698,other vegetables
1698,other vegetables
1698,yogurt
1698,citrus fruit
1698,pork
1698,yogurt
1698,yogurt
1698,shopping bags
1698,brown bread
1699,citrus fruit
1699,canned vegetables
1699,onions
1699,liquor (appetizer)
1699,pip fruit
1699,chicken
1699,margarine
1699,hygiene articles
1699,rolls/buns
1699,sweet spreads
1700,other vegetables
1700,pip fruit
1700,other vegetables
1700,shopping bags
1701,canned beer
1701,photo/film
1702,whole milk
1702,yogurt
1702,pastry
1702,pork
1702,other vegetables
1702,bottled beer
1702,pip fruit
1702,whipped/sour cream
1702,yogurt
1702,waffles
1702,yogurt
1702,decalcifier
1702,margarine
1703,pork
1703,waffles
1703,misc. beverages
1703,whole milk
1703,tropical fruit
1703,pork
1703,canned beer
1703,bottled water
1703,newspapers
1703,whipped/sour cream
1703,frozen vegetables
1703,newspapers
1703,cream cheese 
1703,mustard
1705,baking powder
1705,frozen fish
1705,white bread
1705,rolls/buns
1705,soda
1705,whole milk
1705,cream cheese 
1705,sauces
1706,coffee
1706,canned beer
1706,brandy
1706,root vegetables
1706,bottled water
1706,waffles
1706,cat food
1706,grapes
1706,yogurt
1706,soda
1706,dishes
1706,chocolate
1706,light bulbs
1706,soda
1707,sausage
1707,bottled beer
1707,whipped/sour cream
1707,brown bread
1708,oil
1708,cat food
1708,meat
1708,citrus fruit
1708,whole milk
1708,turkey
1708,other vegetables
1708,onions
1708,spread cheese
1708,chocolate
1708,pastry
1708,canned beer
1708,berries
1708,whole milk
1708,rolls/buns
1708,long life bakery product
1709,sausage
1709,white bread
1709,root vegetables
1709,coffee
1710,chicken
1710,chicken
1710,brown bread
1710,rolls/buns
1710,specialty chocolate
1710,rolls/buns
1711,frankfurter
1711,soda
1711,frankfurter
1711,bottled beer
1711,chicken
1711,whole milk
1711,oil
1711,yogurt
1711,hamburger meat
1711,soda
1711,yogurt
1711,citrus fruit
1711,whole milk
1711,white bread
1711,herbs
1711,yogurt
1711,newspapers
1711,shopping bags
1711,specialty chocolate
1712,spread cheese
1712,cream cheese 
1712,butter
1712,rice
1712,hygiene articles
1714,whipped/sour cream
1714,mustard
1714,rolls/buns
1714,zwieback
